id,cluster,name,city
560,453,2223,san francisco
781,675,103 west,atlanta
279,172,20 mott,new york
43,23,21 club,new york
44,23,21 club,new york city
280,173,9 jones street,new york
486,379,abbey,atlanta
145,74,abruzzi,atlanta
146,74,abruzzi,atlanta
561,454,acquarello,san francisco
219,112,adriano's ristorante,los angeles
281,174,adrienne,new york
708,602,afghan kebab house,new york city
282,175,agrotikon,new york
283,176,aja,new york
184,94,alain rondelli,san francisco
185,94,alain rondelli,san francisco
284,177,alamo,new york
487,380,aleck's barbecue heaven,atlanta
285,178,alley's end,new york
782,676,alon's at the terrace,atlanta
286,179,ambassador grill,new york
287,180,american place,new york
288,181,anche vivolo,new york
762,656,andre's french restaurant,las vegas
488,381,annie's thai castle,atlanta
489,382,anthonys,atlanta
530,423,antonio's,las vegas
640,534,apple pan  the,west la
186,95,aqua,san francisco
187,95,aqua,san francisco
45,24,aquavit,new york
46,24,aquavit,new york city
709,603,arcadia,new york city
289,182,arizona,new york
1,0,arnie morton's of chicago,los angeles
2,0,arnie morton's of chicago,los angeles
4,1,art's deli,studio city
3,1,art's delicatessen,studio city
290,183,arturo's,new york
641,535,asahi ramen,west la
490,383,atlanta fish market,atlanta
291,184,au mandarin,new york
47,25,aureole,new york
48,25,aureole,new york city
147,75,bacchanalia,atlanta
148,75,bacchanalia,atlanta
642,536,baja fresh,westlake village
783,677,baker's cajun cafe,atlanta
531,424,bally's big kitchen,las vegas
532,425,bamboo garden,las vegas
292,185,bar anise,new york
784,678,barbecue kitchen,atlanta
293,186,barbetta,new york
562,455,bardelli's,san francisco
220,113,barney greengrass,beverly hills
533,426,battista's hole in the wall,las vegas
221,114,beaurivage,malibu
491,384,beesley's of buckhead,atlanta
6,2,bel-air hotel,bel air
643,537,belvedere  the,beverly hills
294,187,ben benson's,new york
644,538,benita's frites,santa monica
710,604,benny's burritos,new york city
645,539,bernard's,los angeles
492,385,bertolini's,atlanta
534,427,bertolini's,las vegas
563,456,betelnut,san francisco
295,188,big cup,new york
827,721,bill's place,san francisco
296,189,billy's,new york
535,428,binion's coffee shop,las vegas
493,386,bistango,atlanta
536,429,bistro,las vegas
785,679,bistro  the,atlanta
646,540,bistro 45,pasadena
222,115,bistro garden,los angeles
564,457,bistro roti,san francisco
565,458,bix,san francisco
566,459,bizou,san francisco
786,680,bobby & june's kountry kitchen,atlanta
297,190,boca chica,new york
298,191,bolo,new york
149,76,bone's,atlanta
150,76,bone's restaurant,atlanta
299,192,boonthai,new york
223,116,border grill,los angeles
188,96,boulevard,san francisco
189,96,boulevard,san francisco
300,193,bouterin,new york
787,681,bradshaw's restaurant,atlanta
151,77,brasserie le coze,atlanta
152,77,brasserie le coze,atlanta
647,541,brent's deli,northridge
648,542,brighton coffee shop,beverly hills
649,543,bristol farms market cafe,pasadena
224,117,broadway deli,santa monica
537,430,broiler,las vegas
788,682,brookhaven cafe,atlanta
301,194,brothers bar-b-q,new york
302,195,bruno,new york
650,544,bruno's,mar vista
303,196,bryant park grill  roof restaurant and bp cafe,new york
567,460,buca giovanni,san francisco
763,657,buccaneer bay club,las vegas
153,78,buckhead diner,atlanta
154,78,buckhead diner,atlanta
538,431,bugsy's diner,las vegas
764,658,buzio's in the rio,las vegas
304,197,c3,new york
225,118,ca'brea,los angeles
226,119,ca'del sol,los angeles
175,89,cafe  ritz-carlton  buckhead,atlanta
651,545,cafe '50s,venice
568,461,cafe adriano,san francisco
306,199,cafe bianco,new york
7,3,cafe bizou,sherman oaks
8,3,cafe bizou,sherman oaks
652,546,cafe blanc,beverly hills
307,200,cafe botanica,new york
311,204,cafe centro,new york
190,97,cafe claude,san francisco
191,97,cafe claude,san francisco
711,605,cafe con leche,new york city
51,27,cafe des artistes,new york
52,27,cafe des artistes,new york city
312,205,cafe fes,new york
828,722,cafe flore,san francisco
308,201,cafe la fortuna,new york
49,26,cafe lalo,new york
50,26,cafe lalo,new york city
309,202,cafe luxembourg,new york
569,462,cafe marimba,san francisco
539,432,cafe michelle,las vegas
310,203,cafe pierre,new york
227,120,cafe pinot,los angeles
494,387,cafe renaissance,atlanta
540,433,cafe roma,las vegas
789,683,cafe sunflower,atlanta
319,212,caffe bondi ristorante,new york
313,206,caffe dante,new york
314,207,caffe dell'artista,new york
829,723,caffe greco,san francisco
315,208,caffe lure,new york
316,209,caffe reggio,new york
317,210,caffe roma,new york
318,211,caffe vivaldi,new york
570,463,california culinary academy,san francisco
228,121,california pizza kitchen,los angeles
495,388,camille's,atlanta
9,4,campanile,los angeles
10,4,campanile,los angeles
830,724,campo santo,san francisco
192,98,campton place,san francisco
193,98,campton place,san francisco
790,684,canoe,atlanta
229,122,canter's,los angeles
541,434,capozzoli's,las vegas
571,464,capp's corner,san francisco
320,213,capsouto freres,new york
321,214,captain's table,new york
791,685,carey's,marietta
792,686,carey's corner,marietta
53,28,carmine's,new york
54,28,carmine's,new york city
55,29,carnegie deli,new york
56,29,carnegie deli,new york city
542,435,carnival world,las vegas
572,465,carta,san francisco
322,215,casa la femme,new york
653,547,cassell's,la
496,389,cassis,atlanta
230,123,cava,los angeles
323,216,cendrillon asian grill & marimba bar,new york
543,436,center stage plaza hotel,las vegas
231,124,cha cha cha,los angeles
831,725,cha cha cha's,san francisco
232,125,chan dara,los angeles
57,30,chanterelle,new york
58,30,chanterelle,new york city
573,466,chevys,san francisco
324,217,chez jacqueline,new york
654,548,chez melange,redondo beach
194,99,chez michel,san francisco
195,99,chez michel,san francisco
325,218,chiam,new york
131,67,chin's,las vegas
132,67,chin's,las vegas
326,219,china grill,new york
11,5,chinois on main,santa monica
12,5,chinois on main,santa monica
793,687,chops,atlanta
794,688,chopstix,atlanta
155,79,ciboulette,atlanta
156,79,ciboulette restaurant,atlanta
544,437,circus circus,las vegas
327,220,cite,new york
13,6,citrus,los angeles
497,390,city grill,atlanta
233,126,clearwater cafe,los angeles
498,391,coco loco,atlanta
328,221,coco pazzo,new york
499,392,colonnade restaurant,atlanta
329,222,columbus bakery,new york
712,606,corner bistro,new york city
330,223,corrado cafe,new york
133,68,coyote cafe,las vegas
134,68,coyote cafe (las vegas),las vegas
305,198,ct,new york
713,607,cucina della fontana,new york city
714,608,cucina di pesce,new york city
331,224,cupcake cafe,new york
574,467,cypress club,san francisco
332,225,da nico,new york
59,31,daniel,new york
60,31,daniel,new york city
501,394,dante's down the hatch,atlanta
500,393,dante's down the hatch  buckhead,atlanta
715,609,darbar,new york city
61,32,dawat,new york
62,32,dawat,new york city
795,689,deacon burton's soulfood restaurant,atlanta
333,226,dean & deluca,new york
157,80,delectables,atlanta
158,80,delectables,atlanta
575,468,des alpes,san francisco
655,549,diaghilev,w. hollywood
234,127,dining room,los angeles
177,90,dining room  ritz-carlton  buckhead,atlanta
334,227,diva,new york
235,128,dive!,los angeles
335,228,dix et sept,new york
336,229,docks,new york
832,726,doidge's,san francisco
656,550,don antonio's,westwood
833,727,dottie's true blue cafe,san francisco
236,129,drago,santa monica
237,130,drai's,los angeles
337,230,duane park cafe,new york
657,551,duke's,w. hollywood
834,728,dusit thai,san francisco
238,131,dynasty room,los angeles
796,690,eats,atlanta
835,729,ebisu,san francisco
239,132,eclipse,los angeles
240,133,ed debevic's,los angeles
717,611,edison cafe,new york city
716,610,ej's luncheonette,new york city
241,134,el cholo,los angeles
338,231,el teddy's,new york
718,612,elias corner,queens
836,730,emerald garden restaurant,san francisco
765,659,emeril's new orleans fish house,las vegas
339,232,emily's,new york
340,233,empire korea,new york
545,438,empress court,las vegas
837,731,eric's chinese restaurant,san francisco
341,234,ernie's,new york
342,235,evergreen cafe,new york
343,236,f. ille ponte ristorante,new york
658,552,falafel king,westwood
502,395,fat matt's rib shack,atlanta
576,469,faz,san francisco
546,439,feast,las vegas
659,553,feast from the east,west la
63,33,felidia,new york
64,33,felidia,new york city
344,237,felix,new york
14,7,fenix,hollywood
15,7,fenix at the argyle,w. hollywood
345,238,ferrier,new york
346,239,fifty seven fifty seven,new york
347,240,film center cafe,new york
766,660,fiore rotisserie & grille,las vegas
348,241,fiorello's roman cafe,new york
349,242,firehouse,new york
350,243,first,new york
351,244,fishin eddie,new york
352,245,fleur de jour,new york
196,100,fleur de lys,san francisco
197,100,fleur de lys,san francisco
353,246,flowers,new york
797,691,flying biscuit  the,atlanta
577,470,fog city diner,san francisco
354,247,follonico,new york
66,34,four seasons,new york city
65,34,four seasons grill room,new york
355,248,fraunces tavern,new york
503,396,french quarter food shop,atlanta
356,249,french roast,new york
357,250,french roast cafe,new york
358,251,frico bar,new york
798,692,frijoleros,atlanta
198,101,fringale,san francisco
199,101,fringale,san francisco
359,252,fujiyama mama,new york
360,253,gabriela's,new york
361,254,gallagher's,new york
578,471,garden court,san francisco
579,472,gaylord's,san francisco
159,81,georgia grille,atlanta
160,81,georgia grille,atlanta
362,255,gianni's,new york
242,135,gilliland's,santa monica
363,256,girafe,new york
243,136,gladstone's,pacific palisades
364,257,global,new york
547,440,golden nugget hotel,las vegas
548,441,golden steer,las vegas
365,258,golden unicorn,new york
719,613,good enough to eat,new york city
67,35,gotham bar & grill,new york
68,35,gotham bar & grill,new york city
69,36,gramercy tavern,new york
70,36,gramercy tavern,new york city
580,473,grand cafe hotel monaco,san francisco
366,259,grand ticino,new york
16,8,granita,malibu
720,614,gray's papaya,new york city
581,474,greens,san francisco
799,693,greenwood's,roswell
18,9,grill  the,beverly hills
17,9,grill on the alley,los angeles
660,554,gumbo pot  the,la
367,260,halcyon,new york
838,732,hamburger mary's,san francisco
582,475,harbor village,san francisco
244,137,hard rock cafe,los angeles
368,261,hard rock cafe,new york
800,694,harold's barbecue,atlanta
583,476,harris',san francisco
584,477,harry denton's,san francisco
245,138,harry's bar & american grill,los angeles
801,695,havana sandwich shop,atlanta
200,102,hawthorne lane,san francisco
201,102,hawthorne lane,san francisco
585,478,hayes street grill,san francisco
161,82,hedgerose heights inn,atlanta
162,82,hedgerose heights inn  the,atlanta
163,83,heera of india,atlanta
164,83,heera of india,atlanta
586,479,helmand,san francisco
369,262,hi-life restaurant and lounge,new york
661,555,hollywood hills coffee shop,hollywood
504,397,holt bros. bar-b-q,atlanta
370,263,home,new york
587,480,hong kong flower lounge,san francisco
588,481,hong kong villa,san francisco
505,398,horseradish grill,atlanta
5,2,hotel bel-air,bel air
802,696,house of chan,smyrna
506,399,hsu's gourmet,atlanta
371,264,hudson river club,new york
767,661,hugo's cellar,las vegas
589,482,hyde street bistro,san francisco
372,265,i trulli,new york
373,266,il cortile,new york
246,139,il fornaio cucina italiana,los angeles
590,483,il fornaio levi's plaza,san francisco
721,615,il mulino,new york city
374,267,il nido,new york
507,400,imperial fez,atlanta
375,268,inca grill,new york
803,697,indian delights,duluth
165,84,indigo coastal grill,atlanta
166,84,indigo coastal grill,atlanta
662,556,indo cafe,la
376,269,indochine,new york
377,270,internet cafe,new york
378,271,ipanema,new york
71,37,island spice,new york
72,37,island spice,new york city
591,484,izzy's steak & chop house,san francisco
247,140,jack sprat's grill,los angeles
592,485,jack's,san francisco
722,616,jackson diner,queens
248,141,jackson's farm,los angeles
663,557,jan's family restaurant,la
804,698,java jive,atlanta
379,272,jean lafitte,new york
380,273,jewel of india,new york
381,274,jimmy sung's,new york
249,142,jimmy's,los angeles
664,558,jiraffe,santa monica
73,38,jo jo,new york
74,38,jo jo,new york city
665,559,jody maroni's sausage kingdom,venice
382,275,joe allen,new york
666,560,joe's,venice
723,617,joe's shanghai,queens
667,561,john o'groats,west la
724,618,john's pizzeria,new york city
668,562,johnnie's pastrami,culver city
669,563,johnny reb's southern smokehouse,long beach
805,699,johnny rockets (at),atlanta
670,564,johnny rockets (la),la
250,143,joss,los angeles
383,276,judson grill,new york
593,486,kabuto sushi,san francisco
806,700,kalo's coffee house,decatur
508,401,kamogawa,atlanta
594,487,katia's,san francisco
20,10,katsu,los feliz
725,619,kelley & ping,new york city
839,733,kelly's on trinity,san francisco
202,103,khan toke thai house,san francisco
203,103,khan toke thai house,san francisco
726,620,kiev,new york city
671,565,killer shrimp,studio city
672,566,kokomo cafe,la
673,567,koo koo roo,la
595,488,kuleto's,san francisco
727,621,kuruma zushi,new york city
596,489,kyo-ya. sheraton palace hotel,san francisco
384,277,l'absinthe,new york
385,278,l'auberge,new york
386,279,l'auberge du midi,new york
21,11,l'orangerie,los angeles
22,11,l'orangerie,w. hollywood
597,490,l'osteria del forno,san francisco
387,280,l'udo,new york
674,568,la cachette,century city
75,39,la caravelle,new york
76,39,la caravelle,new york city
728,622,la caridad,new york city
77,40,la cote basque,new york
